id,School Name,School Size,School Town,Postal Code,Applied EQAO Achievement,Academic EQAO Achievement
805,Monsignor Paul Dwyer Catholic HS,823,Oshawa,L1J 5P5,0.23,0.7
806,St Mary Catholic HS,"1,581",Pickering,L1V 1R9,0.3,0.77
809,Assumption Roman Catholic SS,939,Burlington,L7N 3P1,0.43,0.84
810,Bishop Paul Francis Reding SS,"1,646",Milton,L9T 6H7,0.47,0.91
811,Christ the King Catholic SS,"1,656",Georgetown,L7G 4A6,0.65,0.9
812,Holy Trinity Catholic SS,"1,239",Oakville,L6H 5Z8,0.46,0.85
813,Notre Dame Roman Catholic SS,"1,010",Burlington,L7M 3X6,0.49,0.84
814,Corpus Christi Secondary School,"1,049",Burlington,L7L 0E5,0.52,0.92
815,St Ignatius of Loyola SS,"1,255",Oakville,L6M 1S2,0.55,0.88
816,St Thomas Aquinas Roman Catholic SS,"1,321",Oakville,L6K 2W1,0.41,0.84
817,Bishop Tonnos Catholic SS,"1,137",Ancaster,L9G 5E3,0.56,0.93
818,Bishop Ryan Catholic SS,"1,934",Hannon,L0R 1P0,0.38,0.78
819,St. John Henry Newman Catholic Secondary School,"1,496",Stoney Creek,L8G 3V3,0.6,0.87
820,Cathedral High School,"1,250",Hamilton,L8L 8H5,0.25,0.71
821,St Jean de Brebeuf SS,"1,483",Hamilton,L8W 1B8,0.42,0.77
822,St. Mary’s Catholic SS,"1,000",Hamilton,L8S 2G7,0.51,0.88
823,St Thomas More Catholic SS,"1,966",Hamilton,L9B 2N4,0.32,0.76
824,Bishop Macdonell Catholic High School,763,Guelph,N1L 1G1,0.66,0.89
825,Our Lady of Lourdes Sep S,707,Guelph,N1H 5H7,0.69,0.95
826,St James HS,856,Guelph,N1E 5G9,0.42,0.78
827,Monsignor Doyle Catholic SS,"1,002",Cambridge,N1R 7H2,0.45,0.82
828,Resurrection Catholic SS,"1,317",Kitchener,N2N 3B9,0.69,0.88
829,St Benedict Catholic SS,"1,518",Cambridge,N1R 5W1,0.52,0.85
830,St David Catholic SS,980,Waterloo,N2L 3X5,0.62,0.84
831,St Mary's HS,"1,945",Kitchener,N2C 2S2,0.52,0.81
832,Blessed Trinity Catholic Secondary School,"1,021",Grimsby,L3M 5J6,0.38,0.82
833,Denis Morris Catholic High School,955,St Catharines,L2T 2M9,0.42,0.87
834,Holy Cross Catholic Secondary School,629,St Catharines,L2M 2P9,0.33,0.81
835,Lakeshore Catholic High School,872,Port Colborne,L3K 2E7,0.38,0.75
836,Notre Dame College School,"1,234",Welland,L3C 4H4,0.36,0.78
837,Saint Paul Catholic High School,771,Niagara Falls,L2J 2Y5,0.48,0.9
838,Saint Michael Catholic High School,921,Niagara Falls,L2E 6S5,0.62,0.95
839,Saint Francis Catholic Secondary School,578,St Catharines,L2N 4H7,0.75,0.87
840,Assumption College S,"1,443",Brantford,N3T 0G7,0.57,0.86
841,Holy Trinity Catholic HS,959,Simcoe,N3Y 4N5,0.55,0.87
842,St John's College,"1,098",Brantford,N3R 1H9,0.5,0.77
843,Holy Trinity Catholic SS,536,Cornwall,K6H 5S7,0.54,0.95
845,St Thomas Aquinas Secondary School,397,Russell,K4R 1E5,0.81,0.96
846,Notre Dame Catholic HS,489,Carleton Place,K7C 4P2,0.5,0.82
847,St Francis Xavier Catholic HS,272,Hammond,K0A 2A0,0.4,0.75
848,St. Luke Catholic HS,115,Smiths Falls,K7A 3Z9,0.21,0.95
849,St John Catholic HS,415,Perth,K7H 3C5,0.4,0.8
850,St Joseph's SS,726,Cornwall,K6J 5V9,0.42,0.87
851,St Mary's HS,493,Brockville,K6V 4N5,0.49,0.85
852,St Michael HS,474,Kemptville,K0G 1J0,0.68,0.91
853,L B Pearson Catholic HS,591,Gloucester,K1J 8M5,0.32,0.83
854,St Paul HS,503,Ottawa,K2H 7A1,0.51,0.86
855,St Matthew HS,647,Orleans,K1C 2S9,0.43,0.89
856,Immaculata HS,593,Ottawa,K1S 5P4,0.52,0.93
857,Holy Trinity Catholic HS,928,Kanata,K2L 4A7,0.77,0.92
858,All Saints Catholic HS,952,Kanata,K2K 3K5,0.68,0.93
859,St. Mother Teresa,"1,100",Nepean,K2J 4T1,0.52,0.93
860,Sacred Heart HS,"1,123",Stittsville,K2S 1X4,0.51,0.9
861,St Joseph Catholic HS,899,Nepean,K2J 4J1,0.54,0.91
862,Notre Dame HS,492,Ottawa,K2A 2M2,0.3,0.71
863,St Patrick's HS,816,Ottawa,K1V 7T3,0.46,0.8
865,St Peter Catholic HS,"1,186",Orleans,K4A 3M4,0.41,0.88
866,St Pius X Sep S,906,Ottawa,K2C 1X4,0.44,0.92
867,St Marks HS,699,Manotick,K4M 1B2,0.63,0.88
868,Bishop Smith Catholic HS,626,Pembroke,K8A 4G2,0.58,0.85
869,St Joseph's HS,471,Renfrew,K7V 4E1,0.86,0.96
870,Holy Cross Catholic SS,"1,047",Kingston,K7P 2V9,0.49,0.82
871,Regiopolis/Notre-Dame S,"1,018",Kingston,K7K 2E9,0.65,0.91
872,Nicholson Catholic College,448,Belleville,K8N 3C7,0.4,0.76
873,St Paul Catholic SS,329,Trenton,K8V 6M2,0.46,0.84
874,St Theresa SS,723,Belleville,K8N 5K3,0.26,0.68
875,ÉS E J Lajeunesse,482,Windsor,N9E 1A5,0.26,0.89
877,l'École secondaire Notre-Dame,84,Woodstock,N4T 0E4,0.19,0.6
878,ÉS de Pain Court,252,Paincourt,N0P 1Z0,0.33,0.72
879,ÉS Monseigneur Bruyère,213,London,N5Y 4K4,0.26,0.92
880,ÉS L'Essor,679,Tecumseh,N8N 3E4,0.29,0.81
881,ÉS Saint-François-Xavier,105,Sarnia,N7S 6K2,0.46,0.89
882,ÉSAC Mère-Teresa,186,Hamilton,L8T 4Y4,0.57,0.85
883,ÉSC Renaissance,458,Aurora,L4G 0E1,0.56,0.96
884,ÉSC Saint-Charles-Garnier,311,Whitby,L1R 2W6,0.69,0.97
885,ÉSC Mgr-de-Charbonnel,232,Toronto,M2M 1C8,0.42,0.95
886,ÉSC Nouvelle Alliance,284,Barrie,L4N 0B5,0.39,0.78
887,ÉSC Père-René-de-Galinée,328,Cambridge,N3H 4R7,0.54,0.86
888,ÉSC Jean-Vanier,424,Welland,L3B 5N4,0.32,0.82
889,ÉSC Sainte-Famille,465,Mississauga,L5N 7K8,0.5,0.9
890,École secondaire catholique de Casselman,538,Casselman,K0A 1M0,0.58,0.87
891,ÉS Embrun,417,Embrun,K0A 1W0,0.5,0.89
893,ÉS Hawkesbury,401,Hawkesbury,K6A 2P3,0.31,0.71
894,ÉS La Citadelle,372,Cornwall,K6H 4M1,0.33,0.86
895,ÉS L'Escale,517,Rockland,K4K 1C3,0.49,0.92
896,ÉS Plantagenet,232,Plantagenet,K0B 1L0,0.49,0.85
897,ÉS Le Relais,180,Alexandria,K0C 1A0,0.41,0.86
898,ÉS C Collège catholique Franco-Ouest,515,Nepean,K2H 8X1,0.41,0.9
899,ÉS C Collège catholique Samuel-Genest,700,Ottawa,K1K 2H3,0.58,0.88
900,ÉS C Jeanne-Lajoie,201,Pembroke,K8A 5R3,0.78,0.93
901,ÉS C Franco-Cité,853,Ottawa,K1G 1N7,0.45,0.88
902,ÉS C Béatrice-Desloges,886,Orléans,K4A 3Y6,0.61,0.92
903,ÉS C Centre professionnel et technique Minto,65,Ottawa,K1K 4R3,0.93,1
904,ÉS C Garneau,708,Orléans,K1C 1J4,0.65,0.95
905,ÉS C Marie-Rivier,141,Kingston,K7M 8N6,0.45,0.95
1101,St Maximilian Kolbe CHS,"1,334",Aurora,L4G 1J5,0.45,0.83
1102,Our Lady Queen of the World Catholic Academy,790,Richmond Hill,L4C 3P2,0.46,0.88
1104,St Roch Catholic SS,"1,412",Brampton,L6X 0N3,0.54,0.91
1105,Cardinal Ambrozic Cath SS,"1,335",Brampton,L6P 3A2,0.58,0.92
1108,Superior Collegiate and Vocational Institute,545,Thunder Bay,P7A 5S3,0.37,0.92
1112,Maxwell Heights Secondary School,"1,642",Oshawa,L1K 0N1,0.7,0.92
1113,École secondaire Roméo Dallaire,118,Barrie,L4N 9E9,0.73,0.83
1122,Superior Heights CVS,800,SaultSte. Marie,P6B 2C5,0.31,0.77
1123,St. Michael Catholic Secondary School,"1,194",Bolton,L7E 4G6,0.5,0.88
1148,David Suzuki Secondary School,"1,621",Brampton,L6X 0Z3,0.41,0.8
1151,Nottawasaga Pines Secondary School,735,Angus,L0M 1B1,0.56,0.79
